LocalSKU	CountryOfOrigin	Fragile	StoreDry	KeepAwayFromFlame	Toxic	HazardProfile
PRT-0084	Great Britain	0	0	0	0	
PRT-0085	Great Britain	0	0	0	0	
PRT-0086	Great Britain	0	0	0	0	
PRT-0087	Baltic Region	0	1	0	0	
KIT-0020	Mixed Origin	0	0	0	0	
KIT-0021	Mixed Origin	0	0	0	0	
KIT-0022	Mixed Origin	0	0	0	0	
KIT-0023	Mixed Origin	0	0	0	0	
OFT-0012	Mixed Origin	0	0	0	0	
PRT-0088	Great Britain	0	0	0	0	
PRT-0089	Great Britain	0	0	0	0	
PRT-0090	Great Britain	0	0	0	0	
PRT-0091	Great Britain	0	0	0	0	
PRT-0092	Baltic Region	0	1	0	0	
PRT-0093	Baltic Region	0	1	0	0	
PRT-0094	Baltic Region	0	1	0	0	
PRT-0095	Baltic Region	0	1	0	0	
ASM-0023	Netherlands	0	1	0	0	
PRT-0096	Baltic Region	0	1	0	0	
PRT-0097	Baltic Region	0	1	0	0	
PRT-0098	Baltic Region	0	1	0	0	
LBL-0005	United States	0	1	0	0	
OFT-0013	Mixed Origin	0	0	0	0	
OFT-0014	Mixed Origin	0	0	0	0	
OFT-0015	Mixed Origin	0	0	0	0	
ASM-0024	Great Britain	0	0	0	0	
ASM-0025	Great Britain	0	0	0	0	
ASM-0026	Great Britain	0	0	0	0	
PRT-0099	Great Britain	0	0	0	0	
PRT-0100	Great Britain	0	0	0	0	
ASM-0027	Great Britain	0	0	0	0	
ASM-0028	Great Britain	0	0	0	0	
ASM-0029	Netherlands	0	1	0	0	
ASM-0030	Great Britain	0	0	0	0	
PRT-0101	Baltic Region	0	1	0	0	
PRT-0102	Great Britain	0	0	0	0	
PKG-0005	Local Supply	0	0	0	0	
KIT-0024	Mixed Origin	0	1	0	0	
KIT-0025	Mixed Origin	1	1	0	0	
KIT-0026	Mixed Origin	1	1	0	0	
OFT-0016	Mixed Origin	1	1	0	0	
ASM-0031	Great Britain	1	0	0	0	
PRT-0103	Great Britain	1	0	0	0	
ASM-0032	Great Britain	1	0	0	0	
PRT-0104	Great Britain	1	0	0	0	
PRT-0105	Great Britain	1	0	0	0	
PRT-0106	Great Britain	1	0	0	0	
PRT-0107	Great Britain	1	0	0	0	
ASM-0033	Great Britain	0	0	0	0	
ASM-0034	Great Britain	0	0	0	0	
PRT-0108	Great Britain	1	0	0	0	
PKG-0006	Great Britain	0	1	0	0	
DOC-0001	Great Britain	0	1	0	0	
PRT-0109	Great Britain	0	0	0	0	
PRT-0110	Baltic Region	0	1	0	0	
PRT-0111	Great Britain	1	0	0	0	
KIT-0027	Mixed Origin	0	1	0	0	
QAR-0053	United States	0	1	0	0	
ASM-0035	Great Britain	1	0	0	0	
ASM-0036	Great Britain	0	0	0	0	
KIT-0028	Mixed Origin	0	1	0	0	
KIT-0029	Mixed Origin	0	1	0	0	
KIT-0030	Mixed Origin	0	1	0	0	
OFT-0017	Mixed Origin	0	0	0	0	
PRT-0112	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0113	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0114	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0115	Great Britain	0	0	0	0	SHARP_EDGE
KIT-0031	Mixed Origin	0	0	0	0	SHARP_EDGE
KIT-0032	Mixed Origin	0	0	0	0	SHARP_EDGE
PRT-0116	Great Britain	0	0	0	0	
PRT-0117	Great Britain	0	0	0	0	
PRT-0118	Great Britain	0	0	0	0	
ASM-0037	Great Britain	0	0	0	0	
ASM-0038	Great Britain	0	0	0	0	
PRT-0119	Great Britain	0	0	0	0	SHARP_EDGE
MAT-0010	Great Britain	0	1	1	0	
MAT-0011	North American Colonies	0	0	1	0	COMBUSTIBLE
PRT-0120	North American Colonies	0	0	0	0	
PRT-0121	Netherlands	0	1	0	0	
PRT-0122	North American Colonies	0	0	0	0	
PRT-0123	North American Colonies	0	0	0	0	
KIT-0033	Mixed Origin	0	1	0	0	
KIT-0034	Mixed Origin	0	1	0	0	
OFT-0018	Mixed Origin	0	1	0	0	
OFT-0019	Mixed Origin	0	1	0	0	
PRT-0124	Netherlands	0	1	0	0	SHARP_EDGE
PRT-0125	Netherlands	0	1	0	0	
MAT-0012	Netherlands	0	1	0	0	
PRT-0126	Netherlands	0	1	0	0	
PRT-0127	Baltic Region	0	1	0	0	SHARP_EDGE
PRT-0128	Netherlands	0	1	0	0	
MAT-0013	Netherlands	0	1	0	0	
MAT-0014	Netherlands	0	1	0	0	
MAT-0015	Baltic Region	0	1	0	0	
MAT-0016	Baltic Region	0	1	0	0	
MAT-0017	Baltic Region	0	1	0	0	
MAT-0018	Baltic Region	0	1	0	0	
MAT-0019	Sweden	0	1	1	0	COMBUSTIBLE
KIT-0035	Mixed Origin	1	1	0	0	
KIT-0036	Mixed Origin	1	1	0	0	
KIT-0037	Mixed Origin	0	1	0	0	
OFT-0020	Mixed Origin	0	1	0	0	
ASM-0039	Great Britain	1	0	0	0	
PRT-0129	Great Britain	1	0	0	0	SHARP_EDGE
PRT-0130	Great Britain	0	0	0	0	SHARP_EDGE
KIT-0038	Mixed Origin	0	0	0	0	SHARP_EDGE
PRT-0131	Great Britain	0	0	0	0	SHARP_EDGE
KIT-0039	Mixed Origin	0	0	0	0	SHARP_EDGE
PRT-0132	Great Britain	0	1	0	0	
MAT-0020	Great Britain	0	1	0	0	
MAT-0021	Great Britain	0	1	0	0	
PRT-0133	Netherlands	0	1	0	0	
PKG-0007	Great Britain	1	1	0	0	
PKG-0008	Great Britain	1	0	0	0	
MAT-0022	Great Britain	1	1	0	1	CONTROLLED_MEDICAL
MAT-0023	Peru	1	1	0	0	
MAT-0024	Great Britain	1	1	0	1	TOXIC
MAT-0025	Great Britain	1	0	0	0	
ASM-0040	Netherlands	0	1	0	0	
PRT-0134	Great Britain	0	1	0	0	
LBL-0006	United States	0	1	0	0	
ASM-0041	Great Britain	0	0	0	0	
OFT-0021	Mixed Origin	0	0	0	0	
KIT-0040	Mixed Origin	0	0	0	0	
KIT-0041	Mixed Origin	0	0	0	0	
OFT-0022	Mixed Origin	0	0	0	0	
PRT-0135	Great Britain	0	0	0	0	
PRT-0136	Great Britain	0	0	0	0	
PRT-0137	Great Britain	0	0	0	0	
PRT-0138	Great Britain	0	0	0	0	
PRT-0139	Great Britain	0	0	0	0	
PRT-0140	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0141	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0142	Great Britain	0	0	0	0	
PRT-0143	Great Britain	0	0	0	0	
PRT-0144	Great Britain	0	0	0	0	
PRT-0145	Great Britain	0	0	0	0	
PRT-0146	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0147	Great Britain	0	0	0	0	
PRT-0148	Great Britain	1	0	0	0	
PRT-0149	Local Supply	0	0	0	0	
PRT-0150	Great Britain	0	0	0	0	
PKG-0009	North American Colonies	0	0	0	0	
PKG-0010	North American Colonies	0	1	0	0	
PKG-0011	North American Colonies	0	0	0	0	
PKG-0012	Netherlands	0	1	0	0	
PKG-0013	Great Britain	0	1	0	0	
PKG-0014	Great Britain	0	0	0	0	
MAT-0026	Local Supply	0	0	0	0	
MAT-0027	West Indies	0	0	1	0	FLAMMABLE
MAT-0028	Great Britain	0	0	0	0	
MAT-0029	Great Britain	0	1	0	0	
MAT-0030	Great Britain	0	1	0	0	
MAT-0031	Great Britain	0	1	0	0	
MAT-0032	Great Britain	0	1	0	0	
MAT-0033	Great Britain	0	1	0	0	
MAT-0034	Great Britain	0	1	0	0	
MAT-0035	Great Britain	0	1	0	0	
MAT-0036	Great Britain	0	1	0	0	
MAT-0037	France	0	0	0	0	
MAT-0038	Mediterranean	0	0	1	0	
LBL-0007	United States	0	0	0	0	
LBL-0008	United States	0	1	0	0	
LBL-0009	United States	0	1	0	0	
LBL-0010	United States	0	1	0	0	
ASM-0042	Local Supply	0	0	0	0	
ASM-0043	West Indies	0	0	1	0	FLAMMABLE
ASM-0044	Great Britain	0	0	0	0	
ASM-0045	Great Britain	0	1	0	0	
ASM-0046	Great Britain	0	1	0	0	
ASM-0047	Great Britain	0	1	0	0	
ASM-0048	Great Britain	0	1	0	0	
ASM-0049	Great Britain	0	1	0	0	
ASM-0050	Great Britain	0	1	0	0	
ASM-0051	Great Britain	0	1	0	0	
ASM-0052	Great Britain	0	1	0	0	
ASM-0053	France	0	1	0	0	
ASM-0054	Mediterranean	0	0	1	0	
KIT-0042	Mixed Origin	0	1	0	0	
OFT-0023	Mixed Origin	0	1	0	0	
ASM-0055	Netherlands	0	1	0	0	
PRT-0151	Great Britain	0	1	0	0	
PKG-0015	Netherlands	0	1	0	0	
PRT-0152	Great Britain	0	0	0	0	
PRT-0153	Netherlands	0	1	0	0	SHARP_EDGE
KIT-0043	Mixed Origin	0	1	0	0	
KIT-0044	Mixed Origin	0	1	0	0	
LBL-0011	United States	0	1	0	0	
QAR-0054	Mixed Origin	0	0	0	0	
KIT-0045	Mixed Origin	0	1	0	0	
ASM-0056	Great Britain	0	0	0	0	
ASM-0057	Great Britain	0	0	0	0	
ASM-0058	Great Britain	0	0	0	0	
ASM-0059	Great Britain	0	1	0	0	
ASM-0060	Great Britain	0	0	0	0	
PKG-0016	Great Britain	1	0	0	0	
MAT-0039	Great Britain	0	1	0	0	
DOC-0002	United States	0	1	0	0	
DOC-0003	Great Britain	0	1	0	0	
MAT-0040	Great Britain	0	1	1	0	
KIT-0046	Mixed Origin	0	0	0	0	
ASM-0061	Great Britain	1	0	0	0	
OFT-0024	Mixed Origin	0	0	0	0	
OFT-0025	Mixed Origin	0	0	0	0	
OFT-0026	Mixed Origin	0	1	0	0	
PRT-0154	Great Britain	0	1	0	0	
ASM-0062	Great Britain	0	0	0	0	
PRT-0155	Great Britain	0	0	0	0	SHARP_EDGE
PRT-0156	Great Britain	0	1	0	0	
KIT-0047	Mixed Origin	0	0	0	0	
ASM-0063	Netherlands	0	1	0	0	
KIT-0048	Mixed Origin	0	1	0	0	
PKG-0017	Local Supply	0	0	0	0	
LBL-0012	United States	0	1	0	0	
LBL-0013	United States	0	1	0	0	
LBL-0014	United States	0	1	0	0	
LBL-0015	United States	0	1	0	0	
LBL-0016	United States	0	1	0	0	
LBL-0017	United States	0	1	0	0	
LBL-0018	United States	0	1	0	0	
LBL-0019	United States	0	1	0	0	
MAT-0041	United States	0	1	0	0	
MAT-0042	United States	0	1	0	0	
