LocalSKU	StockUOM	UnitWeightLb	Stowage	HistoricalBasis	Confidence	SourceCode	HazardClass	LabelTemplate	Notes
KIT-0006	EA		UPPER DECK	RECONSTRUCTED	MEDIUM	QAR-ARMS	ORDNANCE	KIT-LABEL	
KIT-0007	EA		RAILS AND TOPS	RECONSTRUCTED	MEDIUM	QAR-ARMS	ORDNANCE	KIT-LABEL	
PRT-0017	EA	1800		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0018	EA	1200		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0019	EA	145		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
ASM-0008	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0009	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0010	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0008	EA			RECOVERED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0009	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0010	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0011	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0012	EA			RECONSTRUCTED	MEDIUM	RECON	AMMUNITION	KIT-LABEL	
KIT-0013	EA			RECONSTRUCTED	MEDIUM	RECON	AMMUNITION	KIT-LABEL	
KIT-0014	EA			RECONSTRUCTED	MEDIUM	RECON	AMMUNITION	KIT-LABEL	
LBL-0001	EA			FICTIONAL	N/A	FICTION	ORDNANCE	LABEL-STOCK	Fictional reconstruction-yard safety label; not represented as an eighteenth-century artifact.
LBL-0002	EA			FICTIONAL	N/A	FICTION	ORDNANCE	LABEL-STOCK	
LBL-0003	EA			FICTIONAL	N/A	FICTION	ORDNANCE	LABEL-STOCK	
PRT-0020	EA	85		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0021	EA	60		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0022	EA	95		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0023	EA	70		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0024	EA	45		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0025	EA	34		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0026	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0027	EA	13		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0028	EA	28		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0029	EA	0.7		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0011	EA	12		RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
PRT-0030	EA	9		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0031	EA	12		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0032	EA	10		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0033	EA	8		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0034	EA	5		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0035	EA	7		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0036	EA	16		RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
KIT-0015	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0037	EA	2.5		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0038	EA	2		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0039	EA	1.5		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0040	EA	6		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0012	EA	4		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0041	EA	24		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0042	EA	12		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0043	EA	38		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0044	EA	28		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0013	EA	18		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0045	EA	4		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0046	EA	6		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0047	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0048	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0049	EA	6		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0050	EA	4		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0051	EA	0.5		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0052	EA	9		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
ASM-0014	EA	8		RECOVERED	MEDIUM	QAR-ARMS		KIT-LABEL	
MAT-0002	EA	0.4		RECOVERED	MEDIUM	QAR-ARMS		STORES-LABEL	
MAT-0003	EA	0.3		RECOVERED	MEDIUM	QAR-ARMS		STORES-LABEL	
ASM-0015	EA	30		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0016	EA	25		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0001	EA	9		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0017	EA	31		RECONSTRUCTED	MEDIUM	QAR-ARMS	EXPLOSIVE	POWDER-HAZARD	
PKG-0002	EA	6		RECOVERED	MEDIUM	QAR-STOR		KIT-LABEL	
MAT-0004	LB	1		RECONSTRUCTED	MEDIUM	RECON	EXPLOSIVE	STORES-LABEL	
LBL-0004	EA			FICTIONAL	N/A	FICTION	EXPLOSIVE	POWDER-HAZARD	
KIT-0016	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0018	EA	6		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0003	EA	8		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0053	EA	3		RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
KIT-0017	EA	2		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
PRT-0054	EA	1		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0055	EA	1		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0005	EA	0.1		RECONSTRUCTED	MEDIUM	RECON	EXPLOSIVE	STORES-LABEL	
MAT-0006	EA	0.08		RECONSTRUCTED	MEDIUM	RECON	EXPLOSIVE	STORES-LABEL	
KIT-0018	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0019	EA			RECONSTRUCTED	MEDIUM	QAR-ARMS		KIT-LABEL	
PRT-0056	EA	3		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0057	EA	4.5		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0058	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0019	EA	3		RECOVERED	MEDIUM	QAR-ARMS	EXPLOSIVE	KIT-LABEL	About two dozen hand grenades were recovered from the wreck site.
PRT-0059	EA	10		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0060	EA	3		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
MAT-0007	EA	0.05		RECOVERED	MEDIUM	QAR-ARMS		STORES-LABEL	
MAT-0008	EA	0.08		RECOVERED	MEDIUM	QAR-ARMS		STORES-LABEL	
MAT-0009	EA	0.05		RECOVERED	MEDIUM	QAR-ARMS		STORES-LABEL	
PKG-0004	EA	2		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0061	EA	0.5		RECONSTRUCTED	MEDIUM	QAR-ARMS		PART-ID	
PRT-0062	EA	1		RECOVERED	MEDIUM	QAR-ARMS		PART-ID	
QAR-0025	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0009	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0010	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0026	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0011	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0027	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0028	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0029	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0030	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0031	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0032	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0033	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0034	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0035	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0036	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0037	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0038	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0020	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0021	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0022	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0063	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0064	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0065	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0066	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0067	COIL	22		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0068	EA	14		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0069	EA	9		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0070	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0071	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0072	EA	55		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0073	EA	34		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0074	EA	42		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0075	EA	28		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0076	EA	26		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0077	EA	20		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0078	EA	12		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0079	EA	10		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0080	EA	24		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
QAR-0039	EA	450		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0040	EA	280		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0041	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0042	EA	450		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0043	EA	280		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0044	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0045	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0046	EA	280		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0047	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0048	EA	280		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0049	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0050	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0051	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0052	EA	170		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0081	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0082	EA	5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0083	EA	11		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0084	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0085	EA	16		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0086	EA	3		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0087	EA	1		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0020	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0021	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0022	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0023	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0012	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0088	EA	2200		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0089	EA	2600		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0090	EA	900		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0091	EA	350		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0092	EA	1800		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0093	EA	2100		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0094	EA	650		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0095	EA	250		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0023	EA	28		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0096	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0097	EA	280		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0098	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
LBL-0005	EA			FICTIONAL	N/A	FICTION		LABEL-STOCK	
OFT-0013	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0014	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0015	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0024	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0025	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0026	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0099	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0100	EA	12		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0027	EA	24		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0028	EA	42		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0029	EA	35		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0030	EA	48		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0101	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0102	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PKG-0005	EA	12		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0024	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0025	EA			RECONSTRUCTED	MEDIUM	QAR-TOOLS		KIT-LABEL	
KIT-0026	EA			RECONSTRUCTED	MEDIUM	QAR-TOOLS		KIT-LABEL	
OFT-0016	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0031	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0103	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0032	EA			RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
PRT-0104	EA			RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
PRT-0105	EA			RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
PRT-0106	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0107	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0033	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0034	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0108	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PKG-0006	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
DOC-0001	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0109	EA	14		RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
PRT-0110	EA	22		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0111	EA			RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
KIT-0027	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
QAR-0053	EA			FICTIONAL	LOW	FICTION		KIT-LABEL	The popular horned-skeleton flag attribution is not securely documented for Blackbeard; this is a clearly marked reconstruction prop.
ASM-0035	EA	7		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0036	EA	180		RECOVERED	MEDIUM	QAR-ARMS		KIT-LABEL	
KIT-0028	EA			RECONSTRUCTED	MEDIUM	QAR-TOOLS		KIT-LABEL	
KIT-0029	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0030	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0017	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0112	EA	7		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0113	EA	6		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0114	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0115	EA	4		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0031	EA	28		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0032	EA	14		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
PRT-0116	EA	3		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0117	EA	8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0118	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0037	EA	80		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
ASM-0038	EA	95		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
PRT-0119	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0010	EA	25		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0011	EA	31		RECONSTRUCTED	MEDIUM	RECON	COMBUSTIBLE	STORES-LABEL	
PRT-0120	EA	45		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0121	EA	60		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0122	EA	220		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0123	EA	75		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0033	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0034	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0018	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0019	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0124	EA	0.1		RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
PRT-0125	EA	0.4		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0012	EA	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
PRT-0126	EA	4		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0127	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0128	EA	1		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0013	BOLT	55		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0014	BOLT	68		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0015	EA	5		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0016	EA	50		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0017	EA	160		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0018	EA	310		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0019	EA	31		RECONSTRUCTED	MEDIUM	RECON	COMBUSTIBLE	STORES-LABEL	
KIT-0035	EA			RECONSTRUCTED	MEDIUM	QAR-TOOLS		KIT-LABEL	
KIT-0036	EA			RECONSTRUCTED	MEDIUM	QAR-TOOLS		KIT-LABEL	
KIT-0037	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0020	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0039	EA	8		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
PRT-0129	EA	0.8		RECOVERED	MEDIUM	QAR-TOOLS		PART-ID	
