LocalSKU	ItemName	Vendor	UPC
PRT-0012	Tiller Relieving Rope, 30 ft	ROPEWALK	020171800469
ASM-0006	Hand Bilge Pump Assembly	SHIPWRIGHT	020171800476
PRT-0013	Bilge Strainer	SHIPWRIGHT	020171800483
PRT-0014	Pump Brake Handle	SHIPWRIGHT	020171800490
KIT-0003	Pump Leather Service Set	CARPENTER	020171800506
ASM-0007	Bilge Bucket with Rope	BOATSWAIN	020171800513
MAT-0001	Sorted Stone Ballast, 100 lb Lot	SHIPWRIGHT	020171800520
PRT-0015	Iron Ballast Pig, 50 lb	SHIPWRIGHT	020171800537
PRT-0016	Ballast Bedding Mat	SAILLOFT	020171800544
OFT-0004	Six-Pounder Main Battery	GUNDECK	020171800551
OFT-0005	Four-Pounder Upper Battery	GUNDECK	020171800568
OFT-0006	Swivel-Gun Rail Battery	GUNDECK	020171800575
OFT-0007	Powder Magazine Outfit	MAGAZINE	020171800582
OFT-0008	Small Arms and Boarding Outfit	GUNDECK	020171800599
KIT-0004	Ordnance Spare Parts Chest	GUNDECK	020171800605
KIT-0005	Complete Six-Pounder Cannon Station	GUNDECK	020171800612
KIT-0006	Complete Four-Pounder Cannon Station	GUNDECK	020171800629
KIT-0007	Complete Half-Pounder Swivel-Gun Station	GUNDECK	020171800636
PRT-0017	Iron Six-Pounder Cannon Barrel	FOUNDRY	020171800643
PRT-0018	Iron Four-Pounder Cannon Barrel	FOUNDRY	020171800650
PRT-0019	Iron Half-Pounder Swivel Gun	FOUNDRY	020171800667
ASM-0008	Six-Pounder Gun Carriage	CARPENTER	020171800674
ASM-0009	Four-Pounder Gun Carriage	CARPENTER	020171800681
ASM-0010	Swivel-Gun Yoke and Pintle Mount	FOUNDRY	020171800698
KIT-0008	Cannon Service Tool Kit	GUNDECK	020171800704
KIT-0009	Swivel-Gun Service Tool Kit	GUNDECK	020171800711
KIT-0010	Six-Pounder Breeching and Side-Tackle Set	ROPEWALK	020171800728
KIT-0011	Four-Pounder Breeching and Side-Tackle Set	ROPEWALK	020171800735
KIT-0012	Six-Pounder Ready-Shot Allowance	MAGAZINE	020171800742
KIT-0013	Four-Pounder Ready-Shot Allowance	MAGAZINE	020171800759
KIT-0014	Swivel-Gun Ready-Shot Allowance	MAGAZINE	020171800766
LBL-0001	Safety Label - Six-Pounder Station	LABELSHOP	020171800773
LBL-0002	Safety Label - Four-Pounder Station	LABELSHOP	020171800780
LBL-0003	Safety Label - Swivel-Gun Station	LABELSHOP	020171800797
PRT-0020	Six-Pounder Carriage Cheek	CARPENTER	020171800803
PRT-0021	Four-Pounder Carriage Cheek	CARPENTER	020171800810
PRT-0022	Six-Pounder Carriage Bed	CARPENTER	020171800827
PRT-0023	Four-Pounder Carriage Bed	CARPENTER	020171800834
PRT-0024	Six-Pounder Carriage Axle	CARPENTER	020171800841
PRT-0025	Four-Pounder Carriage Axle	CARPENTER	020171800858
PRT-0026	Six-Pounder Carriage Truck Wheel	CARPENTER	020171800865
PRT-0027	Four-Pounder Carriage Truck Wheel	CARPENTER	020171800872
PRT-0028	Gun Carriage Transom	CARPENTER	020171800889
PRT-0029	Gun Carriage Linchpin	FOUNDRY	020171800896
ASM-0011	Gun Carriage Capsquare and Key	FOUNDRY	020171800902
PRT-0030	Gun Elevation Quoin	CARPENTER	020171800919
PRT-0031	Cannon Rammer	GUNDECK	020171800926
PRT-0032	Cannon Sponge	GUNDECK	020171800933
PRT-0033	Cannon Worm	GUNDECK	020171800940
PRT-0034	Powder Ladle	GUNDECK	020171800957
PRT-0035	Slow-Match Linstock	GUNDECK	020171800964
PRT-0036	Gunner's Handspike	GUNDECK	020171800971
KIT-0015	Vent Pick and Priming Wire Set	GUNDECK	020171800988
PRT-0037	Lead Touch-Hole Apron	GUNDECK	020171800995
PRT-0038	Six-Pounder Wooden Tompion	CARPENTER	020171801008
PRT-0039	Four-Pounder Wooden Tompion	CARPENTER	020171801015
PRT-0040	Gunner's Water Bucket	GUNDECK	020171801022
ASM-0012	Swivel-Gun Rammer and Sponge	GUNDECK	020171801039
PRT-0041	Iron Swivel Yoke	FOUNDRY	020171801046
PRT-0042	Iron Swivel Pintle	FOUNDRY	020171801053
PRT-0043	Six-Pounder Breeching Rope, 24 ft	ROPEWALK	020171801060
PRT-0044	Four-Pounder Breeching Rope, 20 ft	ROPEWALK	020171801077
ASM-0013	Gun Side-Tackle Assembly	ROPEWALK	020171801084
PRT-0045	Five-Inch Single Block	BLOCKSHOP	020171801091
PRT-0046	Five-Inch Double Block	BLOCKSHOP	020171801107
PRT-0047	Gun Tackle Fall, 30 ft	ROPEWALK	020171801114
PRT-0048	Iron Tackle Hook	FOUNDRY	020171801121
PRT-0049	Six-Pound Round Shot	MAGAZINE	020171801138
PRT-0050	Four-Pound Round Shot	MAGAZINE	020171801145
PRT-0051	Half-Pound Swivel-Gun Lead Shot	MAGAZINE	020171801152
PRT-0052	Six-Pounder Bar Shot	MAGAZINE	020171801169
ASM-0014	Langrage Canister	MAGAZINE	020171801176
MAT-0002	Six-Pounder Cannon Wad	MAGAZINE	020171801183
MAT-0003	Four-Pounder Cannon Wad	MAGAZINE	020171801190
ASM-0015	Six-Pounder Ready-Shot Rack	CARPENTER	020171801206
ASM-0016	Four-Pounder Ready-Shot Rack	CARPENTER	020171801213
PKG-0001	Swivel Shot Box	CARPENTER	020171801220
ASM-0017	Black Powder Keg, Sealed 25 lb	MAGAZINE	020171801237
PKG-0002	Oak Powder Keg, 25 lb Capacity	COOPER	020171801244
MAT-0004	Black Powder, Bulk Pound	MAGAZINE	020171801251
LBL-0004	Safety Label - Black Powder / No Flame	LABELSHOP	020171801268
KIT-0016	Magazine Measuring and Issue Kit	MAGAZINE	020171801275
ASM-0018	Enclosed Magazine Lantern	TINSHOP	020171801282
PKG-0003	Leather-Lined Powder Passing Box	LEATHER	020171801299
PRT-0053	Brass Powder Scale	MAGAZINE	020171801305
KIT-0017	Brass Powder Weight Set	MAGAZINE	020171801312
PRT-0054	Copper Powder Scoop	MAGAZINE	020171801329
PRT-0055	Copper Cartridge Funnel	MAGAZINE	020171801336
MAT-0005	Six-Pounder Powder Cartridge Bag	SAILLOFT	020171801343
MAT-0006	Four-Pounder Powder Cartridge Bag	SAILLOFT	020171801350
KIT-0018	Flintlock Musket Outfit	ARMORER	020171801367
KIT-0019	Flintlock Pistol Pair Outfit	ARMORER	020171801374
PRT-0056	Boarding Cutlass	ARMORER	020171801381
PRT-0057	Boarding Axe	ARMORER	020171801398
PRT-0058	Boarding Pike	ARMORER	020171801404
ASM-0019	Cast-Iron Hand Grenade	MAGAZINE	020171801411
PRT-0059	Flintlock Musket	ARMORER	020171801428
PRT-0060	Flintlock Pistol	ARMORER	020171801435
MAT-0007	Gunflint	ARMORER	020171801442
MAT-0008	Musket Ball	MAGAZINE	020171801459
MAT-0009	Pistol Ball	MAGAZINE	020171801466
PKG-0004	Leather Cartridge Box	LEATHER	020171801473
PRT-0061	Personal Firearm Cleaning Tool	ARMORER	020171801480
PRT-0062	Lead Bullet Mold	ARMORER	020171801497
QAR-0025	Mast and Spar Outfit	SHIPWRIGHT	020171801503
OFT-0009	Standing Rigging Outfit	ROPEWALK	020171801510
OFT-0010	Running Rigging Outfit	ROPEWALK	020171801527
QAR-0026	Complete Sail Inventory	SAILLOFT	020171801534
OFT-0011	Blocks, Deadeyes and Rigging Hardware	BLOCKSHOP	020171801541
QAR-0027	Main Mast Assembly	SHIPWRIGHT	020171801558
QAR-0028	Fore Mast Assembly	SHIPWRIGHT	020171801565
QAR-0029	Mizzen Mast Assembly	SHIPWRIGHT	020171801572
QAR-0030	Bowsprit Assembly	SHIPWRIGHT	020171801589
QAR-0031	Main Yard	SHIPWRIGHT	020171801596
QAR-0032	Main Topsail Yard	SHIPWRIGHT	020171801602
QAR-0033	Main Topgallant Yard	SHIPWRIGHT	020171801619
QAR-0034	Fore Yard	SHIPWRIGHT	020171801626
QAR-0035	Fore Topsail Yard	SHIPWRIGHT	020171801633
QAR-0036	Fore Topgallant Yard	SHIPWRIGHT	020171801640
QAR-0037	Mizzen Yard	SHIPWRIGHT	020171801657
QAR-0038	Spritsail Yard	SHIPWRIGHT	020171801664
ASM-0020	Main Shroud Pair	ROPEWALK	020171801671
ASM-0021	Fore Shroud Pair	ROPEWALK	020171801688
ASM-0022	Mizzen Shroud Pair	ROPEWALK	020171801695
PRT-0063	Main Stay	ROPEWALK	020171801701
PRT-0064	Fore Stay	ROPEWALK	020171801718
PRT-0065	Mizzen Stay	ROPEWALK	020171801725
PRT-0066	Running Backstay	ROPEWALK	020171801732
PRT-0067	Ratline Cordage, 200 ft Coil	ROPEWALK	020171801749
PRT-0068	Large Deadeye	BLOCKSHOP	020171801756
PRT-0069	Medium Deadeye	BLOCKSHOP	020171801763
PRT-0070	Deadeye Lanyard, 50 ft	ROPEWALK	020171801770
PRT-0071	Iron Chainplate	FOUNDRY	020171801787
PRT-0072	Large Halyard, 200 ft	ROPEWALK	020171801794
PRT-0073	Medium Halyard, 160 ft	ROPEWALK	020171801800
PRT-0074	Large Sail Sheet, 180 ft	ROPEWALK	020171801817
PRT-0075	Medium Sail Sheet, 140 ft	ROPEWALK	020171801824
PRT-0076	Yard Brace, 150 ft	ROPEWALK	020171801831
PRT-0077	Yard Lift, 120 ft	ROPEWALK	020171801848
PRT-0078	Clewline, 100 ft	ROPEWALK	020171801855
PRT-0079	Buntline, 100 ft	ROPEWALK	020171801862
PRT-0080	Course Tack, 100 ft	ROPEWALK	020171801879
QAR-0039	Main Course Sail	SAILLOFT	020171801886
QAR-0040	Main Topsail	SAILLOFT	020171801893
QAR-0041	Main Topgallant Sail	SAILLOFT	020171801909
QAR-0042	Fore Course Sail	SAILLOFT	020171801916
QAR-0043	Fore Topsail	SAILLOFT	020171801923
QAR-0044	Fore Topgallant Sail	SAILLOFT	020171801930
QAR-0045	Mizzen Sail	SAILLOFT	020171801947
QAR-0046	Mizzen Topsail	SAILLOFT	020171801954
QAR-0047	Spritsail	SAILLOFT	020171801961
QAR-0048	Spritsail Topsail	SAILLOFT	020171801978
QAR-0049	Main Staysail	SAILLOFT	020171801985
QAR-0050	Fore Staysail	SAILLOFT	020171801992
QAR-0051	Jib	SAILLOFT	020171802005
QAR-0052	Flying Jib	SAILLOFT	020171802012
PRT-0081	Small Single Block	BLOCKSHOP	020171802029
PRT-0082	Medium Single Block	BLOCKSHOP	020171802036
PRT-0083	Large Single Block	BLOCKSHOP	020171802043
PRT-0084	Medium Double Block	BLOCKSHOP	020171802050
PRT-0085	Large Triple Block	BLOCKSHOP	020171802067
PRT-0086	Iron Rigging Shackle	FOUNDRY	020171802074
PRT-0087	Rope Thimble	BLOCKSHOP	020171802081
KIT-0020	Bower Anchor Outfit	BOATSWAIN	020171802098
KIT-0021	Sheet Anchor Outfit	BOATSWAIN	020171802104
KIT-0022	Stream Anchor Outfit	BOATSWAIN	020171802111
KIT-0023	Kedge Anchor Outfit	BOATSWAIN	020171802128
OFT-0012	Mooring Line Outfit	BOATSWAIN	020171802135
PRT-0088	Bower Anchor	FOUNDRY	020171802142
PRT-0089	Sheet Anchor	FOUNDRY	020171802159
PRT-0090	Stream Anchor	FOUNDRY	020171802166
PRT-0091	Kedge Anchor	FOUNDRY	020171802173
PRT-0092	Bower Cable, 600 ft	ROPEWALK	020171802180
PRT-0093	Sheet Cable, 600 ft	ROPEWALK	020171802197
PRT-0094	Stream Cable, 400 ft	ROPEWALK	020171802203
PRT-0095	Kedge Hawser, 300 ft	ROPEWALK	020171802210
ASM-0023	Anchor Buoy	SAILLOFT	020171802227
PRT-0096	Anchor Buoy Rope, 100 ft	ROPEWALK	020171802234
PRT-0097	Mooring Hawser, 300 ft	ROPEWALK	020171802241
PRT-0098	Heaving Line, 100 ft	ROPEWALK	020171802258
LBL-0005	Safety Label - Team Lift / Heavy Tackle	LABELSHOP	020171802265
OFT-0013	Longboat Complete Outfit	BOATSHOP	020171802272
OFT-0014	Yawl Complete Outfit	BOATSHOP	020171802289
OFT-0015	Jolly Boat Complete Outfit	BOATSHOP	020171802296
ASM-0024	Longboat Hull	BOATSHOP	020171802302
ASM-0025	Yawl Hull	BOATSHOP	020171802319
ASM-0026	Jolly Boat Hull	BOATSHOP	020171802326
PRT-0099	Longboat Oar	BOATSHOP	020171802333
PRT-0100	Boat Oar	BOATSHOP	020171802340
ASM-0027	Boat Rudder and Tiller	BOATSHOP	020171802357
ASM-0028	Boat Mast and Yard	BOATSHOP	020171802364
ASM-0029	Boat Lug Sail	SAILLOFT	020171802371
ASM-0030	Boat Grapnel and Line	BOATSWAIN	020171802388
PRT-0101	Boat Painter, 100 ft	ROPEWALK	020171802395
PRT-0102	Wooden Boat Bailer	BOATSHOP	020171802401
PKG-0005	Boat Water Breaker, 10 gal	COOPER	020171802418
KIT-0024	Boat Emergency Repair Kit	CARPENTER	020171802425
KIT-0025	Navigator's Instrument Chest	NAVROOM	020171802432
KIT-0026	Pilotage and Sounding Kit	NAVROOM	020171802449
OFT-0016	Flags, Lanterns and Signal Outfit	NAVROOM	020171802456
ASM-0031	Mariner's Compass in Box	NAVROOM	020171802463
PRT-0103	Backstaff	NAVROOM	020171802470
ASM-0032	Cross-Staff and Universal Mount	NAVROOM	020171802487
PRT-0104	Brass Navigational Sector	NAVROOM	020171802494
PRT-0105	Brass Dividers	NAVROOM	020171802500
PRT-0106	Thirty-Minute Sandglass	NAVROOM	020171802517
PRT-0107	Twenty-Eight-Second Log Glass	NAVROOM	020171802524
ASM-0033	Chip Log and Knotted Line	NAVROOM	020171802531
ASM-0034	Traverse Board	NAVROOM	020171802548
PRT-0108	Draw-Tube Spyglass	NAVROOM	020171802555
PKG-0006	Waxed Chart Case	NAVROOM	020171802562
DOC-0001	Carolina and Caribbean Coastal Chart Set	NAVROOM	020171802579
PRT-0109	Sounding Lead	NAVROOM	020171802586
PRT-0110	Sounding Line, 100 fathoms	ROPEWALK	020171802593
PRT-0111	Brass Surveying Sight	NAVROOM	020171802609
KIT-0027	Signal Flag Set	SAILLOFT	020171802616
QAR-0053	Blackbeard Reconstruction Ensign	SAILLOFT	020171802623
ASM-0035	Enclosed Deck Lantern	TINSHOP	020171802630
ASM-0036	Small Signal Gun	GUNDECK	020171802647
KIT-0028	Carpenter's Tool Chest	CARPENTER	020171802654
KIT-0029	Caulking and Sealing Chest	CARPENTER	020171802661
KIT-0030	Emergency Hull Patch Kit	CARPENTER	020171802678
OFT-0017	Spare Timber and Planking Lot	CARPENTER	020171802685
PRT-0112	Broad Axe	CARPENTER	020171802692
PRT-0113	Shipwright's Adze	CARPENTER	020171802708
PRT-0114	Pit Saw	CARPENTER	020171802715
PRT-0115	Carpenter's Hand Saw	CARPENTER	020171802722
KIT-0031	Ship Auger Set	CARPENTER	020171802739
KIT-0032	Chisel and Gouge Set	CARPENTER	020171802746
PRT-0116	Claw Hammer	CARPENTER	020171802753
PRT-0117	Large Wooden Mallet	CARPENTER	020171802760
PRT-0118	Iron Crowbar	CARPENTER	020171802777
ASM-0037	Mechanical Jack	CARPENTER	020171802784
ASM-0038	Portable Grindstone Assembly	CARPENTER	020171802791
PRT-0119	Caulking Iron	CARPENTER	020171802807
MAT-0010	Oakum Bale, 25 lb	CARPENTER	020171802814
MAT-0011	Pine Pitch Keg, 25 lb	CARPENTER	020171802821
PRT-0120	Emergency Patch Plank	CARPENTER	020171802838
PRT-0121	Heavy Collision Canvas, 12 x 12 ft	SAILLOFT	020171802845
PRT-0122	Spare Oak Spar Blank	CARPENTER	020171802852
PRT-0123	Spare Oak Plank	CARPENTER	020171802869
KIT-0033	Sailmaker's Tool Chest	SAILLOFT	020171802876
KIT-0034	Rigging Repair Chest	SAILLOFT	020171802883
OFT-0018	Spare Canvas Stock	SAILLOFT	020171802890
OFT-0019	Spare Cordage Stock	ROPEWALK	020171802906
PRT-0124	Large Sail Needle	SAILLOFT	020171802913
PRT-0125	Sailmaker's Palm	SAILLOFT	020171802920
MAT-0012	Waxed Sail Thread Spool	SAILLOFT	020171802937
PRT-0126	Large Rigging Fid	SAILLOFT	020171802944
PRT-0127	Iron Marlinespike	SAILLOFT	020171802951
PRT-0128	Wooden Seam Rubber	SAILLOFT	020171802968
MAT-0013	Sail Canvas Bolt, 40 yd	SAILLOFT	020171802975
MAT-0014	Heavy Canvas Bolt, 30 yd	SAILLOFT	020171802982
MAT-0015	Marline, 200 ft Coil	ROPEWALK	020171802999
MAT-0016	One-Inch Rope, 200 ft Coil	ROPEWALK	020171803002
MAT-0017	Two-Inch Rope, 200 ft Coil	ROPEWALK	020171803019
MAT-0018	Three-Inch Rope, 200 ft Coil	ROPEWALK	020171803026
MAT-0019	Stockholm Tar Keg, 25 lb	ROPEWALK	020171803033
KIT-0035	Surgeon's Instrument Chest	SURGEON	020171803040
KIT-0036	Medicines and Preparations Chest	SURGEON	020171803057
KIT-0037	Bandage and Dressing Chest	SURGEON	020171803064
OFT-0020	Sick-Bay Berthing Outfit	SURGEON	020171803071
ASM-0039	Mortar and Pestle	SURGEON	020171803088
PRT-0129	Pewter Urethral Syringe	SURGEON	020171803095
PRT-0130	Surgeon's Bone Saw	SURGEON	020171803101
KIT-0038	Lancet Set	SURGEON	020171803118
PRT-0131	Surgical Forceps	SURGEON	020171803125
KIT-0039	Probe and Director Set	SURGEON	020171803132
PRT-0132	Wooden Limb Splint	SURGEON	020171803149
MAT-0020	Linen Bandage Roll	SURGEON	020171803156
MAT-0021	Linen Lint Pack	SURGEON	020171803163
PRT-0133	Canvas Tourniquet	SURGEON	020171803170
PKG-0007	Stoppered Medicine Bottle	GLASSWORKS	020171803187
PKG-0008	Glazed Ointment Jar	POTTERY	020171803194
MAT-0022	Laudanum Bottle	APOTHECARY	020171803200
MAT-0023	Peruvian Bark Jar	APOTHECARY	020171803217
MAT-0024	Mercury Preparation Jar	APOTHECARY	020171803224
MAT-0025	Medicinal Vinegar Bottle	APOTHECARY	020171803231
ASM-0040	Sick-Bay Hammock	SAILLOFT	020171803248
PRT-0134	Sick-Bay Wool Blanket	TEXTILES	020171803255
LBL-0006	Safety Label - Medical Chest / Controlled Access	LABELSHOP	020171803262
ASM-0041	Brick and Iron Galley Hearth	GALLEY	020171803279
OFT-0021	Galley Cookware Outfit	GALLEY	020171803286
KIT-0040	Six-Person Common Mess Kit	GALLEY	020171803293
KIT-0041	Six-Person Officer Mess Kit	GALLEY	020171803309
OFT-0022	Drinking Water Service Outfit	GALLEY	020171803316
PRT-0135	Large Iron Cauldron	GALLEY	020171803323
PRT-0136	Copper Kettle	GALLEY	020171803330
PRT-0137	Copper Cooking Pot	GALLEY	020171803347
PRT-0138	Iron Frying Pan	GALLEY	020171803354
PRT-0139	Long-Handled Galley Ladle	GALLEY	020171803361
PRT-0140	Cook's Knife	GALLEY	020171803378
PRT-0141	Galley Cleaver	GALLEY	020171803385
PRT-0142	Pewter Plate	PEWTERER	020171803392
PRT-0143	Pewter Bowl	PEWTERER	020171803408
PRT-0144	Pewter Spoon	PEWTERER	020171803415
PRT-0145	Wooden Drinking Mug	COOPER	020171803422
PRT-0146	Common Mess Knife	CUTLER	020171803439
PRT-0147	Large Pewter Charger	PEWTERER	020171803446
PRT-0148	Officer's Wine Glass	GLASSWORKS	020171803453
PRT-0149	Water Cask Dipper	GALLEY	020171803460
PRT-0150	Drinking Water Bucket	GALLEY	020171803477
PKG-0009	Oak Cask, 50 gal Capacity	COOPER	020171803484
PKG-0010	Oak Provision Barrel, 200 lb Capacity	COOPER	020171803491
PKG-0011	Oak Cask, 25 gal Capacity	COOPER	020171803507
PKG-0012	Waxed Provision Sack, 50 lb	SAILLOFT	020171803514
PKG-0013	Provision Crate, 50 lb	CARPENTER	020171803521
PKG-0014	Butter Firkin, 25 lb Capacity	COOPER	020171803538
MAT-0026	Potable Water, Gallon	QUARTER	020171803545
MAT-0027	Caribbean Rum, Gallon	QUARTER	020171803552
MAT-0028	Vinegar, Gallon	QUARTER	020171803569
MAT-0029	Ship's Biscuit, Pound	BAKERY	020171803576
MAT-0030	Salt Beef, Pound	VICTUALER	020171803583
MAT-0031	Salt Pork, Pound	VICTUALER	020171803590
MAT-0032	Dried Fish, Pound	VICTUALER	020171803606
MAT-0033	Dried Peas, Pound	VICTUALER	020171803613
MAT-0034	Oatmeal, Pound	VICTUALER	020171803620
MAT-0035	Hard Cheese, Pound	VICTUALER	020171803637
MAT-0036	Salt Butter, Pound	VICTUALER	020171803644
MAT-0037	Sea Salt, Pound	VICTUALER	020171803651
MAT-0038	Cooking Oil, Gallon	VICTUALER	020171803668
LBL-0007	Provision Label - Potable Water	LABELSHOP	020171803675
LBL-0008	Provision Label - Rum / Flammable	LABELSHOP	020171803682
LBL-0009	Provision Label - Food Lot	LABELSHOP	020171803699
LBL-0010	Provision Label - Vinegar	LABELSHOP	020171803705
ASM-0042	Potable Water Cask, 50 gal	QUARTER	020171803712
ASM-0043	Rum Cask, 50 gal	QUARTER	020171803729
ASM-0044	Vinegar Cask, 25 gal	QUARTER	020171803736
ASM-0045	Ship's Biscuit Cask, 100 lb	QUARTER	020171803743
ASM-0046	Salt Beef Barrel, 200 lb	QUARTER	020171803750
ASM-0047	Salt Pork Barrel, 200 lb	QUARTER	020171803767
ASM-0048	Dried Fish Barrel, 100 lb	QUARTER	020171803774
ASM-0049	Dried Peas Sack, 50 lb	QUARTER	020171803781
ASM-0050	Oatmeal Sack, 50 lb	QUARTER	020171803798
ASM-0051	Hard Cheese Crate, 50 lb	QUARTER	020171803804
ASM-0052	Salt Butter Firkin, 25 lb	QUARTER	020171803811
ASM-0053	Sea Salt Sack, 50 lb	QUARTER	020171803828
ASM-0054	Cooking Oil Cask, 25 gal	QUARTER	020171803835
KIT-0042	Individual Crew Issue Pack	QUARTER	020171803842
OFT-0023	Spare Berthing Stores	QUARTER	020171803859
ASM-0055	Canvas Sailor's Hammock	SAILLOFT	020171803866
PRT-0151	Wool Sea Blanket	TEXTILES	020171803873
PKG-0015	Canvas Sea Bag	SAILLOFT	020171803880
PRT-0152	Pewter Drinking Cup	PEWTERER	020171803897
PRT-0153	Sailor's Utility Knife	CUTLER	020171803903
KIT-0043	Basic Clothing Bundle	TEXTILES	020171803910
KIT-0044	Hammock Clew and Lashing Set	ROPEWALK	020171803927
LBL-0011	Identity Label - Crew Issue Pack	LABELSHOP	020171803934
QAR-0054	Captain's Cabin Furniture and Service	QUARTER	020171803941
KIT-0045	Ship's Record and Writing Chest	QUARTER	020171803958
ASM-0056	Locking Strong Chest	CARPENTER	020171803965
ASM-0057	Folding Cabin Table	CARPENTER	020171803972
ASM-0058	Cabin Chair	CARPENTER	020171803989
ASM-0059	Captain's Berth and Bedding	TEXTILES	020171803996
ASM-0060	Portable Writing Desk	CARPENTER	020171804009
PKG-0016	Ink Horn	QUARTER	020171804016
MAT-0039	Writing Quill	QUARTER	020171804023
DOC-0002	Quartermaster's Stores Ledger	QUARTER	020171804030
DOC-0003	Crew Muster and Watch Book	QUARTER	020171804047
MAT-0040	Sealing Wax Stick	QUARTER	020171804054
KIT-0046	Brass Trade Weight Set	QUARTER	020171804061
ASM-0061	Portable Beam Scale	QUARTER	020171804078
OFT-0024	Fire Response Outfit	BOATSWAIN	020171804085
OFT-0025	Flood and Collision Response Outfit	BOATSWAIN	020171804092
OFT-0026	Abandon-Ship Emergency Stores	BOATSWAIN	020171804108
PRT-0154	Leather Fire Bucket	LEATHER	020171804115
ASM-0062	Fire Sand Tub, Filled	CARPENTER	020171804122
PRT-0155	Fire Axe	CARPENTER	020171804139
PRT-0156	Heavy Wool Fire Blanket	TEXTILES	020171804146
KIT-0047	Tapered Hull Plug Kit	CARPENTER	020171804153
ASM-0063	Collision Mat and Rigging	SAILLOFT	020171804160
KIT-0048	Emergency Provision Chest	QUARTER	020171804177
PKG-0017	Emergency Water Breaker, 20 gal	COOPER	020171804184
LBL-0012	Safety Label - Fire Station	LABELSHOP	020171804191
LBL-0013	Safety Label - Flood Response Kit	LABELSHOP	020171804207
LBL-0014	General Kit Identification Label	LABELSHOP	020171804214
LBL-0015	Inspection Status Label	LABELSHOP	020171804221
LBL-0016	Stowage Location Label	LABELSHOP	020171804238
LBL-0017	Safety Label - Keep Dry	LABELSHOP	020171804245
LBL-0018	Safety Label - Incomplete / Do Not Issue	LABELSHOP	020171804252
LBL-0019	Readiness Label - Packed and Approved	LABELSHOP	020171804269
MAT-0041	Blank Label Stock Sheet	LABELSHOP	020171804276
MAT-0042	Tamper-Evident Reconstruction Seal	LABELSHOP	020171804283
