AssemblySKU	PartSKU	Quantity
QAR-0025	QAR-0038	1
OFT-0009	ASM-0020	6
OFT-0009	ASM-0021	5
OFT-0009	ASM-0022	4
OFT-0009	PRT-0063	2
OFT-0009	PRT-0064	2
OFT-0009	PRT-0065	1
OFT-0009	PRT-0066	8
OFT-0009	PRT-0067	24
OFT-0009	PRT-0068	48
OFT-0009	PRT-0069	32
OFT-0009	PRT-0070	80
OFT-0009	PRT-0071	40
OFT-0010	PRT-0072	6
OFT-0010	PRT-0073	10
OFT-0010	PRT-0074	8
OFT-0010	PRT-0075	18
OFT-0010	PRT-0076	20
OFT-0010	PRT-0077	16
OFT-0010	PRT-0078	20
OFT-0010	PRT-0079	28
OFT-0010	PRT-0080	8
QAR-0026	QAR-0039	2
QAR-0026	QAR-0040	2
QAR-0026	QAR-0041	1
QAR-0026	QAR-0042	2
QAR-0026	QAR-0043	2
QAR-0026	QAR-0044	1
QAR-0026	QAR-0045	1
QAR-0026	QAR-0046	1
QAR-0026	QAR-0047	1
QAR-0026	QAR-0048	1
QAR-0026	QAR-0049	1
QAR-0026	QAR-0050	1
QAR-0026	QAR-0051	1
QAR-0026	QAR-0052	1
OFT-0011	PRT-0081	80
OFT-0011	PRT-0082	64
OFT-0011	PRT-0083	32
OFT-0011	PRT-0084	32
OFT-0011	PRT-0085	12
OFT-0011	PRT-0086	48
OFT-0011	PRT-0087	60
QAR-0005	KIT-0020	2
QAR-0005	KIT-0021	1
QAR-0005	KIT-0022	1
QAR-0005	KIT-0023	2
QAR-0005	OFT-0012	1
KIT-0020	PRT-0088	1
KIT-0020	PRT-0092	1
KIT-0020	ASM-0023	1
KIT-0020	PRT-0096	1
KIT-0020	LBL-0005	1
KIT-0021	PRT-0089	1
KIT-0021	PRT-0093	1
KIT-0021	ASM-0023	1
KIT-0021	PRT-0096	1
KIT-0021	LBL-0005	1
KIT-0022	PRT-0090	1
KIT-0022	PRT-0094	1
KIT-0022	ASM-0023	1
KIT-0022	PRT-0096	1
KIT-0022	LBL-0005	1
KIT-0023	PRT-0091	1
KIT-0023	PRT-0095	1
KIT-0023	ASM-0023	1
KIT-0023	PRT-0096	1
OFT-0012	PRT-0097	8
OFT-0012	PRT-0098	12
QAR-0006	OFT-0013	1
QAR-0006	OFT-0014	1
QAR-0006	OFT-0015	1
OFT-0013	ASM-0024	1
OFT-0013	PRT-0099	12
OFT-0013	ASM-0027	1
OFT-0013	ASM-0028	1
OFT-0013	ASM-0029	1
OFT-0013	ASM-0030	1
OFT-0013	PRT-0101	2
OFT-0013	PRT-0102	2
OFT-0013	PKG-0005	2
OFT-0013	KIT-0024	1
OFT-0014	ASM-0025	1
OFT-0014	PRT-0100	8
OFT-0014	ASM-0027	1
OFT-0014	ASM-0028	1
OFT-0014	ASM-0029	1
OFT-0014	ASM-0030	1
OFT-0014	PRT-0101	2
OFT-0014	PRT-0102	2
OFT-0014	PKG-0005	1
OFT-0014	KIT-0024	1
OFT-0015	ASM-0026	1
OFT-0015	PRT-0100	6
OFT-0015	ASM-0027	1
OFT-0015	ASM-0030	1
OFT-0015	PRT-0101	2
OFT-0015	PRT-0102	1
OFT-0015	PKG-0005	1
OFT-0015	KIT-0024	1
QAR-0007	KIT-0025	1
QAR-0007	KIT-0026	1
QAR-0007	OFT-0016	1
KIT-0025	ASM-0031	2
KIT-0025	PRT-0103	1
KIT-0025	ASM-0032	1
KIT-0025	PRT-0104	1
KIT-0025	PRT-0105	2
KIT-0025	PRT-0106	4
KIT-0025	PRT-0107	2
KIT-0025	ASM-0033	2
KIT-0025	ASM-0034	1
KIT-0025	PRT-0108	2
KIT-0025	PKG-0006	2
KIT-0025	DOC-0001	1
KIT-0026	PRT-0109	2
KIT-0026	PRT-0110	2
KIT-0026	PRT-0111	1
KIT-0026	PRT-0105	1
OFT-0016	KIT-0027	1
OFT-0016	QAR-0053	2
OFT-0016	ASM-0035	12
OFT-0016	ASM-0036	2
QAR-0008	KIT-0028	1
QAR-0008	KIT-0029	2
QAR-0008	KIT-0030	4
QAR-0008	OFT-0017	1
QAR-0008	ASM-0037	1
QAR-0008	ASM-0038	1
KIT-0028	PRT-0112	2
KIT-0028	PRT-0113	4
KIT-0028	PRT-0114	1
KIT-0028	PRT-0115	4
KIT-0028	KIT-0031	2
KIT-0028	KIT-0032	2
KIT-0028	PRT-0116	4
KIT-0028	PRT-0117	4
KIT-0028	PRT-0118	4
KIT-0029	PRT-0119	12
KIT-0029	PRT-0117	4
KIT-0029	MAT-0010	4
KIT-0029	MAT-0011	4
KIT-0029	PRT-0004	12
KIT-0030	PRT-0120	8
KIT-0030	PRT-0121	2
KIT-0030	MAT-0010	2
KIT-0030	PRT-0002	40
KIT-0030	PRT-0116	2
KIT-0030	PRT-0119	4
KIT-0030	LBL-0005	1
OFT-0017	PRT-0122	8
OFT-0017	PRT-0123	40
OFT-0017	PRT-0120	24
QAR-0009	KIT-0033	2
QAR-0009	KIT-0034	2
QAR-0009	OFT-0018	1
QAR-0009	OFT-0019	1
QAR-0009	MAT-0019	12
KIT-0033	PRT-0124	24
KIT-0033	PRT-0125	6
KIT-0033	MAT-0012	12
KIT-0033	PRT-0128	4
KIT-0033	PRT-0126	4
KIT-0033	PRT-0127	6
KIT-0034	PRT-0126	6
KIT-0034	PRT-0127	8
KIT-0034	MAT-0015	12
KIT-0034	PRT-0081	20
KIT-0034	PRT-0082	12
KIT-0034	PRT-0086	12
KIT-0034	PRT-0087	20
OFT-0018	MAT-0013	24
OFT-0018	MAT-0014	12
OFT-0019	MAT-0016	30
OFT-0019	MAT-0017	20
OFT-0019	MAT-0018	10
OFT-0019	MAT-0015	20
QAR-0010	KIT-0035	1
QAR-0010	KIT-0036	1
QAR-0010	KIT-0037	2
QAR-0010	OFT-0020	1
QAR-0010	LBL-0006	4
KIT-0035	ASM-0039	1
KIT-0035	PRT-0129	2
KIT-0035	PRT-0130	2
KIT-0035	KIT-0038	2
KIT-0035	PRT-0131	4
KIT-0035	KIT-0039	2
KIT-0036	PKG-0007	24
KIT-0036	PKG-0008	12
KIT-0036	MAT-0022	4
KIT-0036	MAT-0023	4
KIT-0036	MAT-0024	2
KIT-0036	MAT-0025	6
KIT-0036	LBL-0006	1
KIT-0037	MAT-0020	60
KIT-0037	MAT-0021	20
KIT-0037	PRT-0133	12
KIT-0037	PRT-0132	16
KIT-0037	LBL-0006	1
OFT-0020	ASM-0040	12
OFT-0020	PRT-0134	12
QAR-0011	ASM-0041	1
QAR-0011	OFT-0021	1
QAR-0011	KIT-0040	48
QAR-0011	KIT-0041	2
QAR-0011	OFT-0022	1
OFT-0021	PRT-0135	3
OFT-0021	PRT-0136	4
OFT-0021	PRT-0137	6
OFT-0021	PRT-0138	4
OFT-0021	PRT-0139	6
OFT-0021	PRT-0140	8
OFT-0021	PRT-0141	4
KIT-0040	PRT-0143	6
KIT-0040	PRT-0144	6
KIT-0040	PRT-0145	6
KIT-0040	PRT-0146	2
KIT-0041	PRT-0142	6
KIT-0041	PRT-0143	6
KIT-0041	PRT-0144	6
KIT-0041	PRT-0147	2
KIT-0041	PRT-0148	6
KIT-0041	PRT-0146	6
OFT-0022	PRT-0149	8
OFT-0022	PRT-0150	12
QAR-0012	ASM-0042	120
QAR-0012	ASM-0043	12
QAR-0012	ASM-0044	4
QAR-0012	ASM-0045	90
QAR-0012	ASM-0046	30
QAR-0012	ASM-0047	15
QAR-0012	ASM-0048	15
QAR-0012	ASM-0049	30
QAR-0012	ASM-0050	30
QAR-0012	ASM-0051	20
QAR-0012	ASM-0052	20
QAR-0012	ASM-0053	6
QAR-0012	ASM-0054	6
ASM-0042	PKG-0009	1
ASM-0042	MAT-0026	50
ASM-0042	LBL-0007	1
ASM-0043	PKG-0009	1
ASM-0043	MAT-0027	50
ASM-0043	LBL-0008	1
ASM-0044	PKG-0011	1
ASM-0044	MAT-0028	25
ASM-0044	LBL-0010	1
ASM-0045	PKG-0010	1
ASM-0045	MAT-0029	100
ASM-0045	LBL-0009	1
ASM-0046	PKG-0010	1
ASM-0046	MAT-0030	200
ASM-0046	LBL-0009	1
ASM-0047	PKG-0010	1
ASM-0047	MAT-0031	200
ASM-0047	LBL-0009	1
ASM-0048	PKG-0010	1
ASM-0048	MAT-0032	100
ASM-0048	LBL-0009	1
ASM-0049	PKG-0012	1
ASM-0049	MAT-0033	50
ASM-0049	LBL-0009	1
ASM-0050	PKG-0012	1
ASM-0050	MAT-0034	50
ASM-0050	LBL-0009	1
ASM-0051	PKG-0013	1
ASM-0051	MAT-0035	50
ASM-0051	LBL-0009	1
ASM-0052	PKG-0014	1
ASM-0052	MAT-0036	25
ASM-0052	LBL-0009	1
ASM-0053	PKG-0012	1
ASM-0053	MAT-0037	50
ASM-0053	LBL-0009	1
ASM-0054	PKG-0011	1
ASM-0054	MAT-0038	25
ASM-0054	LBL-0009	1
QAR-0013	KIT-0042	300
QAR-0013	OFT-0023	1
KIT-0042	ASM-0055	1
KIT-0042	PRT-0151	1
KIT-0042	PKG-0015	1
KIT-0042	PRT-0152	1
KIT-0042	PRT-0144	1
KIT-0042	PRT-0153	1
KIT-0042	KIT-0043	1
KIT-0042	KIT-0044	1
KIT-0042	LBL-0011	1
OFT-0023	ASM-0055	30
OFT-0023	PRT-0151	30
OFT-0023	KIT-0044	30
QAR-0014	QAR-0054	1
QAR-0014	KIT-0045	1
QAR-0014	ASM-0056	2
QAR-0014	KIT-0046	1
QAR-0014	ASM-0061	1
QAR-0054	ASM-0057	1
QAR-0054	ASM-0058	4
QAR-0054	ASM-0059	1
QAR-0054	KIT-0041	1
QAR-0054	ASM-0035	2
KIT-0045	ASM-0060	1
KIT-0045	PKG-0016	4
KIT-0045	MAT-0039	24
KIT-0045	DOC-0002	4
KIT-0045	DOC-0003	2
KIT-0045	MAT-0040	12
KIT-0045	DOC-0001	1
QAR-0015	OFT-0024	1
QAR-0015	OFT-0025	1
QAR-0015	OFT-0026	1
OFT-0024	PRT-0154	36
OFT-0024	ASM-0062	8
OFT-0024	PRT-0155	12
OFT-0024	PRT-0156	12
OFT-0024	LBL-0012	12
OFT-0025	KIT-0047	8
OFT-0025	ASM-0063	4
OFT-0025	ASM-0007	24
OFT-0025	KIT-0030	2
OFT-0025	LBL-0013	8
OFT-0026	KIT-0048	3
OFT-0026	PKG-0017	12
OFT-0026	ASM-0035	6
OFT-0026	KIT-0027	1
KIT-0048	ASM-0045	2
KIT-0048	ASM-0042	1
KIT-0048	ASM-0043	1
QAR-0016	LBL-0014	500
QAR-0016	LBL-0015	500
QAR-0016	LBL-0016	500
QAR-0016	LBL-0017	200
QAR-0016	LBL-0018	100
QAR-0016	LBL-0019	500
QAR-0016	MAT-0041	100
QAR-0016	MAT-0042	500
KIT-0024	PRT-0120	2
KIT-0024	MAT-0010	1
KIT-0024	MAT-0011	1
KIT-0024	PRT-0116	1
KIT-0024	PRT-0002	12
KIT-0024	LBL-0014	1
